model,split,metric_scope,length_bin,max_length,truncation_strategy,accuracy,f1,auc,training_time_seconds,inference_time_seconds
RoBERTa_T128_head-only,test,by_length,short,128.0,head-only,0.9394856278366112,0.9416153097632176,0.9835103894176466,100.35463905334473,40.262815952301025
RoBERTa_T128_head-only,test,by_length,medium,128.0,head-only,0.8941953586251242,0.8886838868388683,0.9636413936866058,100.35463905334473,40.262815952301025
RoBERTa_T128_head-only,test,by_length,long,128.0,head-only,0.808641975308642,0.8149253731343283,0.8978685358017136,100.35463905334473,40.262815952301025
RoBERTa_T128_head+tail,validation,overall,all,128.0,head+tail,0.9244,0.9232331437855402,0.9767936,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,validation,by_length,short,128.0,head+tail,0.9449781659388646,0.9484029484029484,0.983387239047339,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,validation,by_length,medium,128.0,head+tail,0.9221382916908774,0.9181929181929182,0.9767031921249923,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,validation,by_length,long,128.0,head+tail,0.8861985472154964,0.8899297423887588,0.9504913076341647,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,test,overall,all,128.0,head+tail,0.9234,0.9221576358684607,0.9774801952000001,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,test,by_length,short,128.0,head+tail,0.9448646831400236,0.9471479213664196,0.9850556885474527,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,test,by_length,medium,128.0,head+tail,0.9205588355643889,0.9171290932373926,0.9761847224819532,101.29381608963013,37.55977916717529
RoBERTa_T128_head+tail,test,by_length,long,128.0,head+tail,0.8827160493827161,0.8857715430861723,0.9570902182782537,101.29381608963013,37.55977916717529
RoBERTa_T256_head-only,validation,overall,all,256.0,head-only,0.9282,0.9284147557328016,0.9782144,165.84095859527588,66.7980432510376
RoBERTa_T256_head-only,validation,by_length,short,256.0,head-only,0.9493449781659389,0.9526916802610114,0.9872249583455847,165.84095859527588,66.7980432510376
RoBERTa_T256_head-only,validation,by_length,medium,256.0,head-only,0.9285299244625218,0.9264793783622236,0.9788437570124284,165.84095859527588,66.7980432510376
RoBERTa_T256_head-only,validation,by_length,long,256.0,head-only,0.8668280871670703,0.8758465011286681,0.9340277777777779,165.84095859527588,66.7980432510376
RoBERTa_T256_head-only,test,overall,all,256.0,head-only,0.92984,0.9298624440179143,0.979866672,165.84095859527588,66.7980432510376
